sales,region,date
1638.0,north,2018-02-06
1647.0,south,2018-02-06
1731.0,east,2018-02-06
1557.0,west,2018-02-06
1587.0,north,2018-02-07
1698.0,south,2018-02-07
1542.0,east,2018-02-07
1635.0,west,2018-02-07
1602.0,north,2018-02-08
1536.0,south,2018-02-08
1503.0,east,2018-02-08
1701.0,west,2018-02-08
1758.0,north,2018-02-09
1662.0,south,2018-02-09
1782.0,east,2018-02-09
1515.0,west,2018-02-09
1662.0,north,2018-02-10
1557.0,south,2018-02-10
1650.0,east,2018-02-10
1674.0,west,2018-02-10
1554.0,north,2018-02-11
1587.0,south,2018-02-11
1563.0,east,2018-02-11
1764.0,west,2018-02-11
1758.0,north,2018-02-12
1608.0,south,2018-02-12
1569.0,east,2018-02-12
1653.0,west,2018-02-12
1572.0,north,2018-02-13
1716.0,south,2018-02-13
1773.0,east,2018-02-13
1725.0,west,2018-02-13
1767.0,north,2018-02-14
1710.0,south,2018-02-14
1698.0,east,2018-02-14
1512.0,west,2018-02-14
1746.0,north,2018-02-15
1734.0,south,2018-02-15
1524.0,east,2018-02-15
1614.0,west,2018-02-15
1578.0,north,2018-02-16
1782.0,south,2018-02-16
1527.0,east,2018-02-16
1752.0,west,2018-02-16
1785.0,north,2018-02-17
1689.0,south,2018-02-17
1641.0,east,2018-02-17
1575.0,west,2018-02-17
1644.0,north,2018-02-18
1674.0,south,2018-02-18
1551.0,east,2018-02-18
1737.0,west,2018-02-18
1563.0,north,2018-02-19
1647.0,south,2018-02-19
1605.0,east,2018-02-19
1539.0,west,2018-02-19
1698.0,north,2018-02-20
1575.0,south,2018-02-20
1500.0,east,2018-02-20
1551.0,west,2018-02-20
1737.0,north,2018-02-21
1542.0,south,2018-02-21
1665.0,east,2018-02-21
1548.0,west,2018-02-21
1635.0,north,2018-02-22
1632.0,south,2018-02-22
1668.0,east,2018-02-22
1764.0,west,2018-02-22
1533.0,north,2018-02-23
1563.0,south,2018-02-23
1641.0,east,2018-02-23
1773.0,west,2018-02-23
1629.0,north,2018-02-24
1698.0,south,2018-02-24
1725.0,east,2018-02-24
1722.0,west,2018-02-24
1596.0,north,2018-02-25
1710.0,south,2018-02-25
1635.0,east,2018-02-25
1659.0,west,2018-02-25
1686.0,north,2018-02-26
1533.0,south,2018-02-26
1524.0,east,2018-02-26
1530.0,west,2018-02-26
1665.0,north,2018-02-27
1695.0,south,2018-02-27
1578.0,east,2018-02-27
1620.0,west,2018-02-27
1767.0,north,2018-02-28
1593.0,south,2018-02-28
1743.0,east,2018-02-28
1557.0,west,2018-02-28
1668.0,north,2018-03-01
1782.0,south,2018-03-01
1527.0,east,2018-03-01
1668.0,west,2018-03-01
1635.0,north,2018-03-02
1569.0,south,2018-03-02
1746.0,east,2018-03-02
1773.0,west,2018-03-02
1539.0,north,2018-03-03
1500.0,south,2018-03-03
1569.0,east,2018-03-03
1557.0,west,2018-03-03
1773.0,north,2018-03-04
1644.0,south,2018-03-04
1614.0,east,2018-03-04
1674.0,west,2018-03-04
1533.0,north,2018-03-05
1653.0,south,2018-03-05
1557.0,east,2018-03-05
1746.0,west,2018-03-05
1719.0,north,2018-03-06
1719.0,south,2018-03-06
1659.0,east,2018-03-06
1800.0,west,2018-03-06
1581.0,north,2018-03-07
1602.0,south,2018-03-07
1608.0,east,2018-03-07
1650.0,west,2018-03-07
1611.0,north,2018-03-08
1530.0,south,2018-03-08
1698.0,east,2018-03-08
1668.0,west,2018-03-08
1746.0,north,2018-03-09
1524.0,south,2018-03-09
1506.0,east,2018-03-09
1704.0,west,2018-03-09
1788.0,north,2018-03-10
1719.0,south,2018-03-10
1746.0,east,2018-03-10
1584.0,west,2018-03-10
1692.0,north,2018-03-11
1635.0,south,2018-03-11
1608.0,east,2018-03-11
1590.0,west,2018-03-11
1599.0,north,2018-03-12
1518.0,south,2018-03-12
1602.0,east,2018-03-12
1659.0,west,2018-03-12
1644.0,north,2018-03-13
1611.0,south,2018-03-13
1554.0,east,2018-03-13
1515.0,west,2018-03-13
1515.0,north,2018-03-14
1632.0,south,2018-03-14
1512.0,east,2018-03-14
1776.0,west,2018-03-14
1677.0,north,2018-03-15
1503.0,south,2018-03-15
1605.0,east,2018-03-15
1647.0,west,2018-03-15
1506.0,north,2018-03-16
1737.0,south,2018-03-16
1590.0,east,2018-03-16
1767.0,west,2018-03-16
1593.0,north,2018-03-17
1614.0,south,2018-03-17
1710.0,east,2018-03-17
1662.0,west,2018-03-17
1650.0,north,2018-03-18
1755.0,south,2018-03-18
1698.0,east,2018-03-18
1659.0,west,2018-03-18
1683.0,north,2018-03-19
1509.0,south,2018-03-19
1500.0,east,2018-03-19
1545.0,west,2018-03-19
1647.0,north,2018-03-20
1614.0,south,2018-03-20
1629.0,east,2018-03-20
1677.0,west,2018-03-20
1743.0,north,2018-03-21
1569.0,south,2018-03-21
1593.0,east,2018-03-21
1578.0,west,2018-03-21
1578.0,north,2018-03-22
1581.0,south,2018-03-22
1653.0,east,2018-03-22
1578.0,west,2018-03-22
1761.0,north,2018-03-23
1611.0,south,2018-03-23
1749.0,east,2018-03-23
1764.0,west,2018-03-23
1716.0,north,2018-03-24
1710.0,south,2018-03-24
1800.0,east,2018-03-24
1728.0,west,2018-03-24
1743.0,north,2018-03-25
1764.0,south,2018-03-25
1740.0,east,2018-03-25
1707.0,west,2018-03-25
1509.0,north,2018-03-26
1641.0,south,2018-03-26
1533.0,east,2018-03-26
1752.0,west,2018-03-26
1767.0,north,2018-03-27
1590.0,south,2018-03-27
1533.0,east,2018-03-27
1704.0,west,2018-03-27
1671.0,north,2018-03-28
1527.0,south,2018-03-28
1524.0,east,2018-03-28
1629.0,west,2018-03-28
1722.0,north,2018-03-29
1557.0,south,2018-03-29
1686.0,east,2018-03-29
1779.0,west,2018-03-29
1734.0,north,2018-03-30
1776.0,south,2018-03-30
1554.0,east,2018-03-30
1725.0,west,2018-03-30
1617.0,north,2018-03-31
1635.0,south,2018-03-31
1605.0,east,2018-03-31
1785.0,west,2018-03-31
1761.0,north,2018-04-01
1530.0,south,2018-04-01
1710.0,east,2018-04-01
1506.0,west,2018-04-01
1509.0,north,2018-04-02
1797.0,south,2018-04-02
1662.0,east,2018-04-02
1530.0,west,2018-04-02
1767.0,north,2018-04-03
1767.0,south,2018-04-03
1614.0,east,2018-04-03
1533.0,west,2018-04-03
1767.0,north,2018-04-04
1761.0,south,2018-04-04
1566.0,east,2018-04-04
1623.0,west,2018-04-04
1506.0,north,2018-04-05
1512.0,south,2018-04-05
1692.0,east,2018-04-05
1749.0,west,2018-04-05
1701.0,north,2018-04-06
1752.0,south,2018-04-06
1632.0,east,2018-04-06
1515.0,west,2018-04-06
1725.0,north,2018-04-07
1611.0,south,2018-04-07
1788.0,east,2018-04-07
1617.0,west,2018-04-07
1656.0,north,2018-04-08
1674.0,south,2018-04-08
1557.0,east,2018-04-08
1701.0,west,2018-04-08
1686.0,north,2018-04-09
1782.0,south,2018-04-09
1641.0,east,2018-04-09
1557.0,west,2018-04-09
1686.0,north,2018-04-10
1527.0,south,2018-04-10
1698.0,east,2018-04-10
1728.0,west,2018-04-10
1671.0,north,2018-04-11
1527.0,south,2018-04-11
1581.0,east,2018-04-11
1764.0,west,2018-04-11
1653.0,north,2018-04-12
1626.0,south,2018-04-12
1782.0,east,2018-04-12
1749.0,west,2018-04-12
1539.0,north,2018-04-13
1752.0,south,2018-04-13
1674.0,east,2018-04-13
1749.0,west,2018-04-13
1569.0,north,2018-04-14
1794.0,south,2018-04-14
1674.0,east,2018-04-14
1638.0,west,2018-04-14
1515.0,north,2018-04-15
1527.0,south,2018-04-15
1602.0,east,2018-04-15
1653.0,west,2018-04-15
1602.0,north,2018-04-16
1707.0,south,2018-04-16
1548.0,east,2018-04-16
1527.0,west,2018-04-16
1599.0,north,2018-04-17
1728.0,south,2018-04-17
1704.0,east,2018-04-17
1539.0,west,2018-04-17
1545.0,north,2018-04-18
1797.0,south,2018-04-18
1515.0,east,2018-04-18
1719.0,west,2018-04-18
1713.0,north,2018-04-19
1674.0,south,2018-04-19
1767.0,east,2018-04-19
1767.0,west,2018-04-19
1668.0,north,2018-04-20
1620.0,south,2018-04-20
1677.0,east,2018-04-20
1509.0,west,2018-04-20
1683.0,north,2018-04-21
1743.0,south,2018-04-21
1644.0,east,2018-04-21
1578.0,west,2018-04-21
1572.0,north,2018-04-22
1545.0,south,2018-04-22
1557.0,east,2018-04-22
1626.0,west,2018-04-22
1710.0,north,2018-04-23
1659.0,south,2018-04-23
1665.0,east,2018-04-23
1521.0,west,2018-04-23
1503.0,north,2018-04-24
1650.0,south,2018-04-24
1689.0,east,2018-04-24
1743.0,west,2018-04-24
1623.0,north,2018-04-25
1503.0,south,2018-04-25
1758.0,east,2018-04-25
1557.0,west,2018-04-25
1713.0,north,2018-04-26
1734.0,south,2018-04-26
1740.0,east,2018-04-26
1563.0,west,2018-04-26
